dimension,sample_count,population_kappa,population_epsilon,population_alignment,empirical_kappa_mean,empirical_kappa_sd,empirical_epsilon_mean,empirical_epsilon_sd,empirical_alignment_mean,empirical_alignment_sd,mp_condition_reference
15,300,1.0,0.0,1.0,2.241861471180656,0.1464773410154135,0.22414778479080988,0.013674659458952442,0.9758421666003778,0.00796307873599831,2.4838211086425614
30,600,1.0,0.0,1.0,2.3233106762655336,0.09853577868098146,0.22158255709338376,0.006524823261467867,0.9764833573629212,0.0059731120165709625,2.4838211086425614
60,1200,1.0,0.0,1.0,2.3878384031233684,0.06523495348782878,0.22012699206881073,0.0036005874701437613,0.9748965846727523,0.0041630646359292894,2.4838211086425614
90,1800,1.0,0.0,1.0,2.402932036804188,0.048634002638888736,0.21934449891199087,0.0025263668756175645,0.9751535597366326,0.003644458494913976,2.4838211086425614
