comparison,mean,sd,ci95_low,ci95_high
direct_minus_redundant_final,428.9133596300602,38.53365871720276,381.0675028818388,476.7592163782816
direct_minus_ng_final,-0.009133132379452036,0.003265269456846596,-0.013187499908452822,-0.005078764850451251
ng_minus_redundant_final,428.9224927624397,38.53391947030548,381.0763122464782,476.76867327840114
auc_ratio_direct_over_redundant,0.629546899578169,,,
auc_ratio_ng_over_redundant,0.6295422313345377,,,
auc_ratio_direct_over_ng,1.0000074152986074,,,
