joints,lie_dimension,direct_parameters,redundant_parameters,auc_magnitude_ratio,direct_auc_mean,redundant_auc_mean
5,15,15,225,0.5671137903747978,-74410.11757477885,-131208.44323958727
10,30,30,450,0.5919198893591938,-155837.33978379593,-263274.3764574354
15,45,45,675,0.6035005435951697,-238176.63829524218,-394658.5315008629
20,60,60,900,0.609718158650865,-321006.20944740373,-526482.9411636686
30,90,90,1350,0.6207689169928207,-490574.5385883626,-790269.172891007
