condition,population_condition,population_epsilon,empirical_condition,empirical_epsilon,alignment,final_return_mean,final_return_sd,return_degradation_percent
Uniform,1.0,3.267425806998169e-16,2.5313941671172078,0.24163808382585106,0.9703213185321411,-693.3176451240773,19.319553195428423,0.0
Axis-biased,1.5,0.17407765595569782,3.082302370143808,0.2922303472008108,0.9526952834390744,-699.0002953597315,20.323847254252392,0.8196315607454588
Diagonal spread (kappa=5),5.0,0.4555997631732622,6.827237034919488,0.4949645998224579,0.8844000964128906,-753.6602764278437,22.98934462650523,8.703461065521749
Diagonal spread (kappa=10),10.0,0.6192499123224715,12.981329485986425,0.6375781771120136,0.818989099285512,-798.9203423982283,27.038856246865617,15.231502907336523
