iteration,objective,gradient_norm,mapping_norm,accepted_step,backtracking_reductions,parameter_norm,unprojected_trial_norm,radius_projection_active,normal_component_norm
0,2.9983466445577287,1.26569329960793,1.26569329960793,16.0,0,1.1999999999999997,19.87152421818223,True,5.71494765360723
1,5.777673065945107,0.4480054591912235,0.4480054591912235,2.0,3,3.9999999999999996,3.524103283308014,False,6.215264155020843
2,5.9977753972542125,0.0447987372111794,0.044798737211179364,2.0,3,3.524103283308014,3.5193412713168803,False,6.023901079399304
3,5.999977293798424,0.004495437315778303,0.0044954373157783,2.0,3,3.5193412713168803,3.5193334818893964,False,6.027560255543413
4,5.999999709217889,0.0005050030513356345,0.0005050030513356029,2.0,3,3.5193334818893964,3.5193333742321578,False,6.0282331964938685
5,5.999999995389733,6.318632496387532e-05,6.318632496390725e-05,2.0,3,3.5193333742321578,3.5193333725137603,False,6.028280067982065
6,5.999999999914765,8.556904475788058e-06,8.55690447580437e-06,2.0,3,3.5193333725137603,3.5193333724818583,False,6.028282143083897
7,5.9999999999982805,1.2127654860192268e-06,1.2127654860317413e-06,2.0,3,3.5193333724818583,3.5193333724812135,False,6.028281994389889
