horizon,batch_size,mapping_squared_mean,mapping_squared_sd
100,10,0.7877254633462113,0.05716914200313923
200,15,0.5105329179255851,0.0243394695851323
400,20,0.3759141152478115,0.012753801742027894
800,29,0.2566895930387901,0.0062400665306894055
1600,40,0.18362543727548405,0.003063279974247877
