arm,selected_learning_rate,heldout_final_mean,heldout_final_sd,heldout_auc_mean,heldout_auc_sd,grid_bracketed
direct,0.015625,-690.7416556733866,8.757220071732808,-276327.44274314505,933.9728587783608,False
redundant,0.015625,-1290.9473541385455,25.656537706679018,-505175.9412944528,7994.696489510439,False
redundant_ng,0.015625,-690.7415142690186,8.757193763591996,-276327.4162941435,933.9744233787605,False
